"film_id","title","min_duration","max_duration","avg_duration","min_rental_rate","max_rental_rate","avg_rental_rate","min_length","max_length","avg_length","min_replacement_cost","max_replacement_cost","avg_replacement_cost","mode_year","mode_language_id","mode_rating"
1,"Academy Dinosaur",6,6,6.0000000000000000,0.99,0.99,0.99000000000000000000,86,86,86.0000000000000000,20.99,20.99,20.9900000000000000,2006,1,"PG"
2,"Ace Goldfinger",3,3,3.0000000000000000,4.99,4.99,4.9900000000000000,48,48,48.0000000000000000,12.99,12.99,12.9900000000000000,2006,1,"G"
3,"Adaptation Holes",7,7,7.0000000000000000,2.99,2.99,2.9900000000000000,50,50,50.0000000000000000,18.99,18.99,18.9900000000000000,2006,1,"NC-17"
4,"Affair Prejudice",5,5,5.0000000000000000,2.99,2.99,2.9900000000000000,117,117,117.0000000000000000,26.99,26.99,26.9900000000000000,2006,1,"G"
5,"African Egg",6,6,6.0000000000000000,2.99,2.99,2.9900000000000000,130,130,130.0000000000000000,22.99,22.99,22.9900000000000000,2006,1,"G"
6,"Agent Truman",3,3,3.0000000000000000,2.99,2.99,2.9900000000000000,169,169,169.0000000000000000,17.99,17.99,17.9900000000000000,2006,1,"PG"
7,"Airplane Sierra",6,6,6.0000000000000000,4.99,4.99,4.9900000000000000,62,62,62.0000000000000000,28.99,28.99,28.9900000000000000,2006,1,"PG-13"
8,"Airport Pollock",6,6,6.0000000000000000,4.99,4.99,4.9900000000000000,54,54,54.0000000000000000,15.99,15.99,15.9900000000000000,2006,1,"R"
9,"Alabama Devil",3,3,3.0000000000000000,2.99,2.99,2.9900000000000000,114,114,114.0000000000000000,21.99,21.99,21.9900000000000000,2006,1,"PG-13"
10,"Aladdin Calendar",6,6,6.0000000000000000,4.99,4.99,4.9900000000000000,63,63,63.0000000000000000,24.99,24.99,24.9900000000000000,2006,1,"NC-17"
11,"Alamo Videotape",6,6,6.0000000000000000,0.99,0.99,0.99000000000000000000,126,126,126.0000000000000000,16.99,16.99,16.9900000000000000,2006,1,"G"
12,"Alaska Phantom",6,6,6.0000000000000000,0.99,0.99,0.99000000000000000000,136,136,136.0000000000000000,22.99,22.99,22.9900000000000000,2006,1,"PG"
13,"Ali Forever",4,4,4.0000000000000000,4.99,4.99,4.9900000000000000,150,150,150.0000000000000000,21.99,21.99,21.9900000000000000,2006,1,"PG"
14,"Alice Fantasia",6,6,6.0000000000000000,0.99,0.99,0.99000000000000000000,94,94,94.0000000000000000,23.99,23.99,23.9900000000000000,2006,1,"NC-17"
15,"Alien Center",5,5,5.0000000000000000,2.99,2.99,2.9900000000000000,46,46,46.0000000000000000,10.99,10.99,10.9900000000000000,2006,1,"NC-17"
16,"Alley Evolution",6,6,6.0000000000000000,2.99,2.99,2.9900000000000000,180,180,180.0000000000000000,23.99,23.99,23.9900000000000000,2006,1,"NC-17"
17,"Alone Trip",3,3,3.0000000000000000,0.99,0.99,0.99000000000000000000,82,82,82.0000000000000000,14.99,14.99,14.9900000000000000,2006,1,"R"
18,"Alter Victory",6,6,6.0000000000000000,0.99,0.99,0.99000000000000000000,57,57,57.0000000000000000,27.99,27.99,27.9900000000000000,2006,1,"PG-13"
